_id,entidad_federativa,accidentes,lunes,martes,miercoles,jueves,viernes,sabado,domingo,luz_dia,luz_crepusculo,luz_noche,luz_alumbrado_publico
1,Aguascalientes,accidentes,34.0,20.0,16.0,23.0,20.0,33.0,33.0,91.0,4.0,84.0,0.0
2,Aguascalientes,accidentes mortales,6.0,4.0,5.0,2.0,3.0,8.0,8.0,13.0,0.0,23.0,0.0
3,Baja California,accidentes,50.0,37.0,36.0,41.0,55.0,75.0,83.0,207.0,15.0,151.0,4.0
4,Baja California,accidentes mortales,8.0,6.0,6.0,6.0,8.0,14.0,16.0,37.0,5.0,22.0,0.0
5,Baja California Sur,accidentes,18.0,29.0,23.0,19.0,35.0,35.0,42.0,102.0,13.0,78.0,8.0
6,Baja California Sur,accidentes mortales,6.0,6.0,5.0,4.0,6.0,9.0,6.0,19.0,3.0,19.0,1.0
7,Campeche,accidentes,27.0,32.0,29.0,17.0,29.0,24.0,37.0,98.0,3.0,94.0,0.0
8,Campeche,accidentes mortales,1.0,5.0,4.0,3.0,1.0,4.0,8.0,11.0,1.0,14.0,0.0
9,Chiapas,accidentes,100.0,80.0,96.0,107.0,90.0,108.0,95.0,358.0,23.0,294.0,1.0
10,Chiapas,accidentes mortales,13.0,7.0,16.0,12.0,12.0,9.0,10.0,36.0,2.0,41.0,0.0
11,Chihuahua,accidentes,55.0,40.0,53.0,53.0,52.0,90.0,113.0,242.0,20.0,193.0,1.0
12,Chihuahua,accidentes mortales,12.0,4.0,16.0,16.0,11.0,16.0,32.0,55.0,2.0,49.0,1.0
13,Ciudad De Mexico,accidentes,10.0,3.0,7.0,7.0,7.0,12.0,21.0,39.0,5.0,23.0,0.0
14,Ciudad De Mexico,accidentes mortales,2.0,3.0,2.0,1.0,2.0,5.0,3.0,7.0,2.0,9.0,0.0
15,Coahuila,accidentes,24.0,24.0,16.0,15.0,30.0,30.0,32.0,107.0,7.0,56.0,1.0
16,Coahuila,accidentes mortales,6.0,7.0,6.0,4.0,8.0,11.0,9.0,33.0,3.0,15.0,0.0
17,Colima,accidentes,20.0,18.0,29.0,23.0,31.0,19.0,27.0,89.0,10.0,68.0,0.0
18,Colima,accidentes mortales,4.0,6.0,2.0,6.0,5.0,5.0,3.0,17.0,0.0,14.0,0.0
19,Durango,accidentes,30.0,24.0,24.0,28.0,36.0,44.0,39.0,125.0,15.0,85.0,0.0
