anio,mes,fecha,tramo,A,M,B2,B3,B4,C2,C3,C4,C5,C6,C7,C8,C9,total,AT,BT,CT,AT1
2023,1,2023-01-01,Cuernavaca-Acapulco,2642114.0,89734.0,67722.0,22947.0,123.0,58533.0,45368.0,8234.0,47968.0,17213.0,575.0,536.0,19347.0,3020414.0,2731848.0,90792.0,197774.0,3020414.0
2023,1,2023-01-01,Cordoba-Veracruz,674832.0,18506.0,27078.0,8012.0,6.0,44675.0,49543.0,6837.0,116317.0,25981.0,2954.0,739.0,106247.0,1081727.0,693338.0,35096.0,353293.0,1081727.0
2023,1,2023-01-01,La Tinaja-Cosoleacaque,461283.0,9479.0,32760.0,15533.0,6.0,41759.0,57659.0,11799.0,170716.0,39363.0,3566.0,1715.0,128288.0,973926.0,470762.0,48299.0,454865.0,973926.0
2023,1,2023-01-01,Lib Noreste de Queretaro,239142.0,1513.0,5739.0,4156.0,6.0,37437.0,28718.0,5081.0,199518.0,20930.0,1128.0,184.0,37420.0,580972.0,240655.0,9901.0,330416.0,580972.0
2023,1,2023-01-01,Libramiento Oriente de Saltillo,199141.0,1339.0,11422.0,11508.0,1204.0,19770.0,10414.0,1934.0,224568.0,19362.0,1801.0,474.0,34316.0,537253.0,200480.0,24134.0,312639.0,537253.0
2023,1,2023-01-01,La Carbonera-Puerto Mexico,222126.0,789.0,12469.0,11653.0,4.0,22336.0,12063.0,3909.0,239425.0,20327.0,1821.0,435.0,35013.0,582370.0,222915.0,24126.0,335329.0,582370.0
2023,1,2023-01-01,Libramiento Poniente de Tampico,245553.0,8856.0,1751.0,325.0,,17276.0,12520.0,2521.0,30920.0,11232.0,691.0,198.0,27046.0,358889.0,254409.0,2076.0,102404.0,358889.0
2023,1,2023-01-01,Champoton-Campeche,191638.0,4926.0,5056.0,1362.0,,9800.0,11719.0,1934.0,27523.0,5969.0,353.0,64.0,17698.0,278042.0,196564.0,6418.0,75060.0,278042.0
2023,1,2023-01-01,Gomez Palacio-Corralitos,123337.0,395.0,14869.0,9015.0,,7539.0,10010.0,6548.0,93427.0,19547.0,3361.0,460.0,28891.0,317399.0,123732.0,23884.0,169783.0,317399.0
2023,1,2023-01-01,Torreon-Saltillo,219563.0,5773.0,17071.0,11665.0,1.0,10598.0,6346.0,6283.0,110311.0,23028.0,3864.0,683.0,49227.0,464413.0,225336.0,28737.0,210340.0,464413.0
2023,1,2023-01-01,Tihuatlan-Gutierrez Zamora,113636.0,1091.0,1725.0,1384.0,5.0,5903.0,7932.0,1500.0,15572.0,5775.0,279.0,106.0,10319.0,165227.0,114727.0,3114.0,47386.0,165227.0
2023,1,2023-01-01,Agua Dulce-Cardenas,174820.0,1588.0,6857.0,3852.0,1.0,16589.0,18174.0,3451.0,60556.0,12589.0,1076.0,431.0,37838.0,337822.0,176408.0,10710.0,150704.0,337822.0
2023,1,2023-01-01,Las Choapas-Ocozocoautla,267251.0,6151.0,12768.0,5676.0,7.0,27879.0,31930.0,3382.0,60836.0,9720.0,1344.0,979.0,40714.0,468637.0,273402.0,18451.0,176784.0,468637.0
2023,1,2023-01-01,Mexico-Cuernavaca,828712.0,22377.0,31205.0,10554.0,58.0,24155.0,17701.0,2267.0,24322.0,6007.0,484.0,136.0,7983.0,975961.0,851089.0,41817.0,83055.0,975961.0
2023,1,2023-01-01,Puente de Ixtla-Iguala,96021.0,1159.0,5068.0,412.0,,6910.0,8283.0,1470.0,4263.0,3621.0,38.0,8.0,1500.0,128753.0,97180.0,5480.0,26093.0,128753.0
2023,1,2023-01-01,La Pera-Cuautla,847658.0,20215.0,19740.0,645.0,5.0,22662.0,12009.0,2113.0,17191.0,3627.0,372.0,38.0,7308.0,953583.0,867873.0,20390.0,65320.0,953583.0
2023,1,2023-01-01,Zacapalco-Rancho Viejo,58260.0,2773.0,1875.0,111.0,,1580.0,632.0,170.0,144.0,111.0,3.0,,3.0,65662.0,61033.0,1986.0,2643.0,65662.0
2023,1,2023-01-01,Mexico-Queretaro,2644558.0,26530.0,100291.0,40716.0,85.0,222121.0,178960.0,23581.0,562522.0,55019.0,7046.0,2586.0,129978.0,3993993.0,2671088.0,141092.0,1181813.0,3993993.0
2023,1,2023-01-01,Mexico-Puebla,3691737.0,48888.0,131983.0,28319.0,261.0,168128.0,127775.0,9828.0,245447.0,27760.0,3355.0,1561.0,91239.0,4576281.0,3740625.0,160563.0,675093.0,4576281.0
2023,1,2023-01-01,Queretaro-Irapuato,1701365.0,13442.0,48063.0,21447.0,642.0,132324.0,128326.0,15843.0,362025.0,47139.0,7286.0,1659.0,99964.0,2579525.0,1714807.0,70152.0,794566.0,2579525.0
2023,1,2023-01-01,Puebla-Acatzingo,1046298.0,8412.0,60685.0,9858.0,197.0,65074.0,65020.0,5887.0,118701.0,20033.0,2614.0,784.0,69676.0,1473239.0,1054710.0,70740.0,347789.0,1473239.0
2023,1,2023-01-01,Acatzingo-Cd Mendoza,290391.0,2375.0,17286.0,6373.0,19.0,26405.0,38887.0,3487.0,87504.0,13853.0,1983.0,897.0,59621.0,549081.0,292766.0,23678.0,232637.0,549081.0
2023,1,2023-01-01,Cd Mendoza-Cordoba,705728.0,27408.0,40385.0,7328.0,,44128.0,55143.0,6096.0,97432.0,18656.0,2461.0,1723.0,67801.0,1074289.0,733136.0,47713.0,293440.0,1074289.0
2023,1,2023-01-01,Tehuacan-Oaxaca,757989.0,8478.0,37821.0,9482.0,73.0,46122.0,51223.0,3804.0,48770.0,11809.0,2162.0,1171.0,30377.0,1009281.0,766467.0,47376.0,195438.0,1009281.0
2023,1,2023-01-01,Tijuana-Ensenada,1332545.0,7663.0,14714.0,1131.0,44.0,24893.0,10931.0,1828.0,52057.0,2999.0,280.0,313.0,11711.0,1461109.0,1340208.0,15889.0,105012.0,1461109.0
2023,1,2023-01-01,Rancho Viejo-Taxco,94565.0,7446.0,2539.0,124.0,,2301.0,609.0,61.0,178.0,118.0,,,,107941.0,102011.0,2663.0,3267.0,107941.0
2023,1,2023-01-01,La Rumorosa-Tecate,224253.0,513.0,8427.0,2652.0,14.0,9184.0,3914.0,1579.0,33145.0,2175.0,418.0,142.0,11302.0,297718.0,224766.0,11093.0,61859.0,297718.0
2023,1,2023-01-01,Salina Cruz-La Ventosa,114211.0,3121.0,1483.0,598.0,,7713.0,5304.0,650.0,6467.0,3963.0,222.0,170.0,9075.0,152977.0,117332.0,2081.0,33564.0,152977.0
2023,1,2023-01-01,Chamapa-Lecheria,2993345.0,126092.0,22661.0,518.0,2.0,111143.0,56435.0,4032.0,57876.0,5919.0,206.0,36.0,7915.0,3386180.0,3119437.0,23181.0,243562.0,3386180.0
2023,1,2023-01-01,Estacion Don-Nogales,1017827.0,2327.0,48494.0,30610.0,12.0,41924.0,29048.0,19719.0,297667.0,35325.0,3761.0,592.0,134655.0,1661961.0,1020154.0,79116.0,562691.0,1661961.0
2023,1,2023-01-01,Durango-Mazatlan,221945.0,2049.0,7864.0,3595.0,8.0,10099.0,16105.0,2168.0,56853.0,6872.0,1895.0,876.0,42297.0,372626.0,223994.0,11467.0,137165.0,372626.0
2023,1,2023-01-01,Lagos de Moreno-San Luis Potosi,72394.0,346.0,2180.0,466.0,1.0,6401.0,6265.0,1605.0,50804.0,6172.0,1110.0,199.0,23773.0,171716.0,72740.0,2647.0,96329.0,171716.0
2023,1,2023-01-01,Libramiento Amecameca-Nepantla,251191.0,5293.0,2208.0,137.0,1.0,12531.0,11590.0,1955.0,15159.0,3441.0,133.0,55.0,4525.0,308219.0,256484.0,2346.0,49389.0,308219.0
2023,1,2023-01-01,Aeropuerto Los Cabos-San Jose del Cabo-Cabo San Lucas,332616.0,552.0,1550.0,174.0,1.0,2452.0,751.0,98.0,1210.0,791.0,60.0,24.0,1032.0,341311.0,333168.0,1725.0,6418.0,341311.0
2023,1,2023-01-01,Libramiento Poniente de Acapulco,54704.0,1281.0,411.0,238.0,,1719.0,1658.0,277.0,910.0,551.0,7.0,6.0,194.0,61956.0,55985.0,649.0,5322.0,61956.0
2023,1,2023-01-01,Puente el Zacatal,88023.0,1574.0,5998.0,2080.0,3.0,8761.0,6988.0,1234.0,21863.0,3630.0,151.0,55.0,11179.0,151539.0,89597.0,8081.0,53861.0,151539.0
